Date,Open,High,Low,Close
28/12/2020,133.990005,137.339996,133.509995,136.690002
29/12/2020,138.050003,138.789993,134.339996,134.869995
30/12/2020,135.580002,135.990005,133.399994,133.720001
31/12/2020,134.080002,134.740005,131.720001,132.690002
04/01/2021,133.520004,133.610001,126.760002,129.410004
05/01/2021,128.889999,131.740005,128.429993,131.009995
06/01/2021,127.720001,131.050003,126.379997,126.599998
07/01/2021,128.360001,131.630005,127.860001,130.919998
08/01/2021,132.429993,132.630005,130.229996,132.050003
11/01/2021,129.190002,130.169998,128.5,128.979996
12/01/2021,128.5,129.690002,126.860001,128.800003
13/01/2021,128.759995,131.449997,128.490005,130.889999
14/01/2021,130.800003,131,128.759995,128.910004
15/01/2021,128.779999,130.220001,127,127.139999
19/01/2021,127.779999,128.710007,126.940002,127.830002
20/01/2021,128.660004,132.490005,128.550003,132.029999
21/01/2021,133.800003,139.669998,133.589996,136.869995
22/01/2021,136.279999,139.850006,135.020004,139.070007
25/01/2021,143.070007,145.089996,136.539993,142.919998
26/01/2021,143.600006,144.300003,141.369995,143.160004
27/01/2021,143.429993,144.300003,140.410004,142.059998
28/01/2021,139.520004,141.990005,136.699997,137.089996
29/01/2021,135.830002,136.740005,130.210007,131.960007
01/02/2021,133.75,135.380005,130.929993,134.139999
02/02/2021,135.729996,136.309998,134.610001,134.990005
03/02/2021,135.759995,135.770004,133.610001,133.940002
04/02/2021,136.300003,137.399994,134.589996,137.389999
05/02/2021,137.350006,137.419998,135.860001,136.759995
08/02/2021,136.029999,136.960007,134.919998,136.910004
09/02/2021,136.619995,137.880005,135.850006,136.009995
10/02/2021,136.479996,136.990005,134.399994,135.389999
11/02/2021,135.899994,136.389999,133.770004,135.130005
12/02/2021,134.350006,135.529999,133.690002,135.369995
16/02/2021,135.490005,136.009995,132.789993,133.190002
17/02/2021,131.25,132.220001,129.470001,130.839996
18/02/2021,129.199997,130,127.410004,129.710007
19/02/2021,130.240005,130.710007,128.800003,129.869995
22/02/2021,128.009995,129.720001,125.599998,126
23/02/2021,123.760002,126.709999,118.389999,125.860001
24/02/2021,124.940002,125.559998,122.230003,125.349998
25/02/2021,124.68,126.459999,120.540001,120.989998
26/02/2021,122.589996,124.849998,121.199997,121.260002
01/03/2021,123.75,127.93,122.790001,127.790001
02/03/2021,128.410004,128.720001,125.010002,125.120003
03/03/2021,124.809998,125.709999,121.839996,122.059998
04/03/2021,121.75,123.599998,118.620003,120.129997
05/03/2021,120.980003,121.940002,117.57,121.419998
08/03/2021,120.93,121,116.209999,116.360001
09/03/2021,119.029999,122.059998,118.790001,121.089996
10/03/2021,121.690002,122.169998,119.449997,119.980003
11/03/2021,122.540001,123.209999,121.260002,121.959999
12/03/2021,120.400002,121.169998,119.160004,121.029999
15/03/2021,121.410004,124,120.419998,123.989998
16/03/2021,125.699997,127.220001,124.720001,125.57
17/03/2021,124.050003,125.860001,122.339996,124.760002
18/03/2021,122.879997,123.18,120.32,120.529999
19/03/2021,119.900002,121.43,119.68,119.989998
22/03/2021,120.330002,123.870003,120.260002,123.389999
23/03/2021,123.330002,124.239998,122.139999,122.540001
24/03/2021,122.82,122.900002,120.07,120.089996
25/03/2021,119.540001,121.660004,119,120.589996
26/03/2021,120.349998,121.480003,118.919998,121.209999
29/03/2021,121.650002,122.580002,120.730003,121.389999
30/03/2021,120.110001,120.400002,118.860001,119.900002
31/03/2021,121.650002,123.519997,121.150002,122.150002
01/04/2021,123.660004,124.18,122.489998,123
05/04/2021,123.870003,126.160004,123.07,125.900002
06/04/2021,126.5,127.129997,125.650002,126.209999
07/04/2021,125.830002,127.919998,125.139999,127.900002
08/04/2021,128.949997,130.389999,128.520004,130.360001
09/04/2021,129.800003,133.039993,129.470001,133
12/04/2021,132.520004,132.850006,130.630005,131.240005
13/04/2021,132.440002,134.660004,131.929993,134.429993
14/04/2021,134.940002,135,131.660004,132.029999
15/04/2021,133.820007,135,133.639999,134.5
16/04/2021,134.300003,134.669998,133.279999,134.160004
